,name,latitude,longitude,delivery_review_number,location
546,McDonald's,12.9672193484,77.7167178690,24.9K,"Brookefield, Bangalore"
547,Leon's Burgers & Wings,12.9826543383,77.7483551504,24.8K,"Whitefield, Bangalore"
548,Alibabar Hari,12.9717013000,77.7347989000,112,"Whitefield, Bangalore"
549,Purnabramha Maharashtrian Restaurant,12.9924396921,77.7030218393,374,"Brigade Metropolis, Bangalore"
550,Starbucks Coffee,12.9566694652,77.7322642878,"2,392","Whitefield, Bangalore"
551,MYNT,12.9872965114,77.7378439531,5,"Vivanta Whitefield, Bangalore"
552,Masala Chai,12.9920865367,77.7027036622,572,"Whitefield, Bangalore"
553,Theobroma,12.9565642000,77.7323802000,"1,916","Whitefield, Bangalore"
554,Hotel Nattinpuram,12.9747489646,77.6938299090,"1,277","Marathahalli, Bangalore"
555,Udupi Veg,12.9693908000,77.7380481000,"1,277","Whitefield, Bangalore"
556,Sri Chowdeshwari Mudde Hotel,12.9921678834,77.7197876573,0,"Whitefield, Bangalore"
557,Munisai Teja Nellore Tiffins,12.9509570048,77.7045221999,215,"Marathahalli, Bangalore"
558,Manorama Food Corner,12.9568178051,77.7146086469,12,"Marathahalli, Bangalore"
559,Sri Guru Nalapaka Restaurant,13.0727931332,77.7866789326,908,"Whitefield, Bangalore"
560,Charubon's Restaurant,12.9624710000,77.7493766000,358,"Varthur Main Road, Whitefield, Bangalore"
561,HRX by EatFit,12.9645240000,77.7193370000,0,"Brookefield, Bangalore"
562,Kapoor's Chaat Bhandaar,12.9391095077,77.7324346423,420,"Varthur Main Road, Whitefield, Bangalore"
563,Juice Berg,12.9670533715,77.7144949883,13.7K,"Brookefield, Bangalore"
564,Pulla Reddy Sweets,13.0158056335,77.7621692419,0,"Whitefield, Bangalore"
565,Khawar Ashe Pashe,13.0059970503,77.7335101500,"2,098","KR Puram, Bangalore"
566,Aditya Sweets,12.9557820378,77.7281511202,"4,696","Whitefield, Bangalore"
567,The Groot,12.9898055527,77.7281584963,429,"Forum Shantiniketan Mall, Whitefield, Bangalore"
568,Baskin Robbins - Ice Cream Desserts,,,"2,388","Marathahalli, Bangalore"
569,Amma's Pastries,13.0032128124,77.7127880976,"2,750","KR Puram, Bangalore"
570,Subbayyaa Gari Hotel,12.9624281905,77.7167279273,"5,417","Brookefield, Bangalore"
571,Boba Bhai,12.9732330000,77.7102890000,559,"Brookefield, Bangalore"
572,Natraj Chole Bhature,12.9659382903,77.7138268819,"5,149","Brookefield, Bangalore"
573,Mayura Sagar,12.9699083000,77.7129033000,"2,515","Brookefield, Bangalore"
574,Hatti Kaapi,12.9730700000,77.7099027000,13,"Marathahalli, Bangalore"
575,Juice Therapy,12.9622426000,77.7166153000,67,"Brookefield, Bangalore"
576,Sri Udupi Food Hub,12.9839710125,77.7516831458,"1,290","ITPL Main Road, Whitefield, Bangalore"
577,Suryawanshi,12.9772761000,77.7249197000,"6,289","KR Puram, Bangalore"
578,Kallayi Restaurant,13.0046949497,77.7101840079,"3,991","KR Puram, Bangalore"
579,Hoskote Nati Style,12.9674281263,77.7147990838,0,"Brookefield, Bangalore"
580,Om Agarwal Bhavan,12.9646987000,77.7174464000,760,"Brookefield, Bangalore"
581,Mirzapur UP63,12.9548455960,77.7148926258,178,"Marathahalli, Bangalore"
582,Puchkas,12.9573611000,77.7087772000,27.7K,"Marathahalli, Bangalore"
583,1882,12.9687870540,77.7168758855,0,"DoubleTree by Hilton, Whitefield, Bengaluru, Bangalore"
584,The Coffee House,12.9835260411,77.7532183751,683,"ITPL Main Road, Whitefield, Bangalore"
585,Litti Mania,12.9720010000,77.7116935000,133,"Brookefield, Bangalore"
586,Udupi Upachar,12.9623641509,77.7133905888,18.2K,"Brookefield, Bangalore"
587,Chef Bakers,12.9821385224,77.7259413153,14,"Whitefield, Bangalore"
588,Amal’s Biriyani,12.9390925000,77.7405417000,197,"Varthur Main Road, Whitefield, Bangalore"
589,Hatti Kaapi - Coffee And More,12.9893820000,77.7280150000,9,"Forum Shantiniketan Mall, Whitefield, Bangalore"
590,Cafe Garage,13.0128960000,77.7620330000,25,"Whitefield, Bangalore"
591,RARA'S - SWEETS-CHAATS-THALIS,12.9528986000,77.7175586000,76,"Brookefield, Bangalore"
592,Simhapuri - The Taste Of Nellore,12.9396637000,77.7377705000,55,"Varthur Main Road, Whitefield, Bangalore"
593,Real Fresh Dosa Corner,12.9648097316,77.7166424319,"8,548","Brookefield, Bangalore"
594,Karma Foods,12.9582335645,77.7188498899,0,"Brookefield, Bangalore"
595,Sai Foods,12.9573869851,77.7145010233,"1,659","Brookefield, Bangalore"
596,New Udupi Garden Veg,13.0045758000,77.7146927000,224,"KR Puram, Bangalore"
597,Ramdev Sagar,12.9588988020,77.7193313465,11.9K,"Brookefield, Bangalore"
598,Citrus Cafe - Lemon Tree Hotel,12.9722253956,77.7175818756,0,"Lemon Tree Hotel, Whitefield, Bangalore"
599,The Cafe Dhaba,13.0098361427,77.7176912604,299,"KR Puram, Bangalore"
600,Thalassery Restaurant,12.9566658710,77.7027013153,18.1K,"Marathahalli, Bangalore"
601,Sri Lakshmi Vaibhav,12.9491526988,77.7151306719,10.6K,"Marathahalli, Bangalore"
602,Mivaan's Café,12.9606039047,77.7204731784,0,"Brookefield, Bangalore"
603,Zoop Cafe,12.9507658575,77.7038881928,10,"Marathahalli, Bangalore"
604,Hotel Abooz- Eat 'N' Meet Restaurant,12.9829163000,77.7335348000,"1,616","Whitefield, Bangalore"
605,Just Bake,12.9674173443,77.7158441395,20,"Brookefield, Bangalore"
606,Vidhagdha Cafe,12.9862576040,77.7798882499,4,"Whitefield, Bangalore"
607,Muraamba - The Marathi Kitchen,12.9634191679,77.7096784115,423,"Marathahalli, Bangalore"
608,Peruvayaran Restaurant,12.9495988469,77.7222116535,4,"Whitefield, Bangalore"
609,Burger King,12.9655110000,77.7018480000,15.7K,"Kote MR Plaza, Bangalore"
610,Brindavan Grand,12.9424490093,77.7475706488,"1,767","Varthur Main Road, Whitefield, Bangalore"
611,Kanti Sweets,12.9941260755,77.7004938573,"8,346","Whitefield, Bangalore"
612,Tea Day,12.9947190185,77.6971826702,9,"Mahadevapura, Bangalore"
