,name,location,price_for_two,cuisines,rating,restaurant_link
252,Poco A Poco - Global Food & Music,"Whitefield, Bangalore",1000,"Continental, Chinese, North Indian, Italian, Cafe, Asian, South Indian, Beverages",4.5,https://www.zomato.com//bangalore/poco-a-poco-global-food-music-whitefield-bangalore/info
253,Barrys Sky Lounge,"Kalyan Nagar, Bangalore",1000,"Chinese, North Indian, Oriental, Mughlai, Biryani",4.3,https://www.zomato.com//bangalore/barrys-sky-lounge-kalyan-nagar-bangalore/info
254,Monsoon - The Park Bangalore,"The Park, MG Road, Bangalore",3500,"Italian, North Indian, Continental, Asian, Seafood, Desserts",3.8,https://www.zomato.com//bangalore/monsoon-the-park-bangalore-mg-road-bangalore/info
255,Lifetree,"Richmond Road, Bangalore",1700,"North Indian, Continental, Pizza, Fast Food, Biryani, Desserts, Beverages",4.3,https://www.zomato.com//bangalore/lifetree-richmond-road-bangalore/info
256,The Reservoire,"Koramangala 5th Block, Bangalore",2000,"North Indian, Biryani, Asian, Italian, Continental, Bar Food, Desserts, Beverages",4.4,https://www.zomato.com//bangalore/the-reservoire-koramangala-5th-block/info
257,Brooks And Bonds Brewery,"Koramangala 5th Block, Bangalore",2000,"Continental, American, North Indian, Italian, Fast Food, Beverages, Desserts",4.2,https://www.zomato.com//bangalore/brooks-and-bonds-brewery-koramangala-5th-block-bangalore/info
258,Xochi Bar And Kitchen,"Bellandur, Bangalore",2500,"Asian, North Indian, Continental",4.5,https://www.zomato.com//bangalore/xochi-bar-and-kitchen-bellandur-bangalore/info
259,Punjab Bistro,"Whitefield, Bangalore",1300,"North Indian, Mughlai, Seafood, Biryani, Desserts",4.2,https://www.zomato.com//bangalore/punjab-bistro-1-whitefield-bangalore/info
260,Stegi - Modern Indian,"Jayanagar, Bangalore",1400,"North Indian, Italian, Fast Food, Desserts, Beverages",4.1,https://www.zomato.com//bangalore/stegi-modern-indian-jayanagar-bangalore/info
261,Full Circle,"Rajarajeshwari Nagar, Bangalore",1504,North Indian,4.1,https://www.zomato.com//bangalore/full-circle-rajarajeshwari-nagar-bangalore/info
262,Down Town Tap Room,"Brigade Road, Bangalore",1700,"Continental, Pizza, Burger, Fast Food, Biryani, Desserts, Bar Food, Beverages",4.6,https://www.zomato.com//bangalore/down-town-tap-room-1-brigade-road-bangalore/info
263,Indigo XP,"Koramangala 5th Block, Bangalore",2000,"North Indian, Continental, Chinese, Italian, Oriental, Thai, Biryani",4.0,https://www.zomato.com//bangalore/indigo-xp-koramangala-5th-block/info
264,House Of Commons,"HSR, Bangalore",1200,"Bar Food, Fast Food, North Indian, Continental, Seafood, Italian, Chinese, Desserts",4.5,https://www.zomato.com//bangalore/house-of-commons-hsr-bangalore/info
265,Chianti,"Forum Falcon City Mall, Kanakapura Roaad, Bangalore",1800,"Italian, Pizza, Pasta, Desserts",4.9,https://www.zomato.com//bangalore/chianti-kanakapura-road-bangalore/info
266,Mannheim Craft Brewery,"Garuda Mall, Magrath Road, Bangalore",1500,"South Indian, North Indian, Continental, Desserts, Asian",4.4,https://www.zomato.com//bangalore/mannheim-craft-brewery-brigade-road-bangalore/info
267,Babai Tiffins,"Sarjapur Road, Bangalore",150,South Indian,4.0,https://www.zomato.com//bangalore/babai-tiffins-sarjapur-road-bangalore/info
268,Kling Brewery,"Church Street, Bangalore",1500,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood",4.2,https://www.zomato.com//bangalore/kling-brewery-church-street-bangalore/info
269,Drink & Dine,"SG Arcade, Bangalore",1700,"North Indian, Chinese, Mughlai, Sandwich, Burger, Pizza, Biryani, Desserts",4.2,https://www.zomato.com//bangalore/drink-dine-rajarajeshwari-nagar-bangalore/info
270,Maverick & Farmer Coffee,"Koramangala 4th Block, Bangalore",1000,"Cafe, Sandwich, Fast Food, Salad, Burger, Italian, Desserts, Beverages",3.9,https://www.zomato.com//bangalore/maverick-farmer-coffee-koramangala-4th-block-bangalore/info
